2026-07-31 06:52:51,370 | INFO | PWD: /opt/pg_sa/backend
2026-07-31 06:52:51,370 | INFO | HOME: /root
2026-07-31 06:52:51,370 | INFO | PATH: /opt/pg_sa/backend/venv/bin
2026-07-31 06:52:51,370 | INFO | SSH: None
2026-07-31 06:52:51,370 | INFO | ANSIBLE: None
2026-07-31 06:53:25,797 | INFO | PWD: /opt/pg_sa/backend
2026-07-31 06:53:25,798 | INFO | HOME: /root
2026-07-31 06:53:25,798 | INFO | PATH: /opt/pg_sa/backend/venv/bin
2026-07-31 06:53:25,798 | INFO | SSH: None
2026-07-31 06:53:25,798 | INFO | ANSIBLE: None
2026-07-31 06:54:00,705 | INFO | PWD: /opt/pg_sa/backend
2026-07-31 06:54:00,705 | INFO | HOME: /root
2026-07-31 06:54:00,705 | INFO | PATH: /opt/pg_sa/backend/venv/bin
2026-07-31 06:54:00,705 | INFO | SSH: None
2026-07-31 06:54:00,705 | INFO | ANSIBLE: None
2026-07-31 06:54:43,226 | INFO | PWD: /opt/pg_sa/backend
2026-07-31 06:54:43,226 | INFO | HOME: /root
2026-07-31 06:54:43,226 | INFO | PATH: /opt/pg_sa/backend/venv/bin
2026-07-31 06:54:43,226 | INFO | SSH: None
2026-07-31 06:54:43,226 | INFO | ANSIBLE: None
2026-07-31 06:58:06,767 | INFO | PWD: /opt/pg_sa/backend
2026-07-31 06:58:06,768 | INFO | HOME: /root
2026-07-31 06:58:06,768 | INFO | PATH: /opt/pg_sa/backend/venv/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
2026-07-31 06:58:06,768 | INFO | SSH: /usr/bin/ssh
2026-07-31 06:58:06,768 | INFO | ANSIBLE: /usr/bin/ansible-playbook
2026-07-31 10:22:12,149 | INFO | PWD: /opt/pg_sa/backend
2026-07-31 10:22:12,149 | INFO | HOME: /root
2026-07-31 10:22:12,150 | INFO | PATH: /opt/pg_sa/backend/venv/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
2026-07-31 10:22:12,150 | INFO | SSH: /usr/bin/ssh
2026-07-31 10:22:12,150 | INFO | ANSIBLE: /usr/bin/ansible-playbook
